"2026-06-23 16:16:17",16,27.1,40.95,0,False
"2026-06-23 16:16:19",16,27.1,40.89,0,False
"2026-06-23 16:16:20",15,27.09,40.83,0,False
"2026-06-23 16:16:21",16,27.1,40.76,0,False
"2026-06-23 16:16:22",17,27.09,40.71,0,False
"2026-06-23 16:16:23",16,27.06,40.68,0,False
"2026-06-23 16:16:24",17,27.11,40.63,0,False
"2026-07-06 14:57:47",14,27.43,37.64,0,False
"2026-07-06 14:57:48",14,27.41,37.65,0,False
"2026-07-06 14:57:49",13,27.43,37.65,0,False
"2026-07-06 14:57:50",13,27.42,37.65,0,False
"2026-07-06 14:57:52",14,27.42,37.65,0,False
"2026-07-06 14:57:53",13,27.43,37.66,0,False
"2026-07-06 14:57:54",14,27.42,37.67,0,False
"2026-07-06 14:57:55",14,27.41,37.65,0,False
"2026-07-06 14:57:56",14,27.41,37.68,0,False
