"年-月-日 時:分:秒","光ｾﾝｻｰ値","温度(℃)","湿度(%)","土中水分ｾﾝｻｰ値","水ﾀﾝｸ内水有無","水ポンプ起動有無","水ポンプ作動時間"
"2026-07-06 16:04:27",9,27.09,37.72,0,False
"2026-07-06 16:04:28",9,27.1,37.72,0,False
"2026-07-06 16:04:29",9,27.05,37.72,0,False
"2026-07-13 13:49:57",8,24.94,54.45,0,"タンク内水無"
"2026-07-13 13:49:58",10,24.94,54.46,0,"タンク内水無"
"2026-07-13 13:49:59",7,24.96,54.47,0,"タンク内水無"
"2026-07-13 13:50:00",9,24.97,54.46,0,"タンク内水無"
"2026-07-13 14:34:32",5,25.49,52.33,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:34:33",3,25.48,52.42,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:34:34",4,25.5,52.43,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:34:35",3,25.49,52.57,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:05",0,25.53,52.31,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:06",0,25.54,52.17,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:07",0,25.53,52.03,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:08",0,25.54,51.92,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:09",0,25.56,51.86,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:10",0,25.58,51.85,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:11",0,25.56,51.72,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:12",0,25.55,51.6,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:14",0,25.57,51.5,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:15",0,25.58,51.39,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:16",0,25.57,51.28,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:17",0,25.57,51.18,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:18",0,25.58,51.07,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:19",0,25.56,51.0,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:20",0,25.57,50.91,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:21",0,25.57,50.85,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:22",0,25.58,50.82,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:24",0,25.61,50.81,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:25",0,25.6,50.75,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:26",0,25.58,50.73,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:37:27",0,25.6,50.79,0,"タンク内水無","水ポンプ不起動",""
"2026-07-13 14:39:24",0,25.61,49.86,0,"タンク内水有","水ポンプ起動",-3.0000839233398438
"2026-07-13 14:39:28",0,25.63,49.62,0,"タンク内水有","水ポンプ起動",-3.000122547149658
"2026-07-13 14:48:59",0,25.33,45.43,0,"タンク内水有","水ポンプ起動",3.0
"2026-07-13 14:49:03",0,25.35,45.57,0,"タンク内水有","水ポンプ起動",3.0
"2026-07-13 14:49:07",0,25.35,45.43,0,"タンク内水有","水ポンプ起動",3.0
"2026-07-13 14:50:33",0,25.42,43.84,0,"タンク内水有","水ポンプ起動",3.0
"2026-07-13 14:50:37",0,25.45,43.81,0,"タンク内水有","水ポンプ起動",3.0
"2026-07-13 14:50:41",0,25.46,43.68,0,"タンク内水有","水ポンプ起動",3.0
